"State_ANSI","State","Honey_and_Milk_2022"
1,ALABAMA,Yes
2,ALASKA,No
4,ARIZONA,Yes
5,ARKANSAS,Yes
6,CALIFORNIA,Yes
8,COLORADO,Yes
9,CONNECTICUT,No
10,DELAWARE,No
12,FLORIDA,Yes
13,GEORGIA,Yes
15,HAWAII,No
16,IDAHO,Yes
17,ILLINOIS,Yes
18,INDIANA,Yes
19,IOWA,Yes
20,KANSAS,Yes
21,KENTUCKY,Yes
22,LOUISIANA,Yes
23,MAINE,Yes
24,MARYLAND,No
25,MASSACHUSETTS,No
26,MICHIGAN,Yes
27,MINNESOTA,Yes
28,MISSISSIPPI,Yes
29,MISSOURI,Yes
30,MONTANA,Yes
31,NEBRASKA,Yes
32,NEVADA,No
33,NEW HAMPSHIRE,No
34,NEW JERSEY,Yes
35,NEW MEXICO,No
36,NEW YORK,Yes
37,NORTH CAROLINA,Yes
38,NORTH DAKOTA,Yes
39,OHIO,Yes
40,OKLAHOMA,No
41,OREGON,Yes
42,PENNSYLVANIA,Yes
44,RHODE ISLAND,No
45,SOUTH CAROLINA,Yes
46,SOUTH DAKOTA,Yes
47,TENNESSEE,Yes
48,TEXAS,Yes
49,UTAH,Yes
50,VERMONT,Yes
51,VIRGINIA,Yes
53,WASHINGTON,Yes
54,WEST VIRGINIA,Yes
55,WISCONSIN,Yes
56,WYOMING,Yes
